Student_ID,Month,Hours_Studied,Attendance,Submission_Timeliness,Participation,Extra_C,Previous_Scores,Test_Score,Project_Marks,Backlogs,Exam_Score
1001,Jan,33,66,On time,Medium,Highly Active,81,19,30,5,67.8
1001,Feb,12,93,Late,High,Highly Active,81,19,30,5,53.17
1001,Mar,32,57,No Submission,Medium,Inactive,81,28,30,5,55.25
1001,Apr,37,73,Late,Low,Inactive,81,25,30,5,68.69
1001,May,11,62,No Submission,Low,Highly Active,81,26,30,5,42.96
1001,Jun,29,97,On time,Low,Active,81,18,30,5,62.69
1002,Jan,24,67,No Submission,Medium,Active,44,18,37,5,47.46
1002,Feb,24,98,No Submission,High,Inactive,44,15,37,5,54.22
1002,Mar,31,61,No Submission,Low,Active,44,12,37,5,50.26
1002,Apr,23,56,On time,Low,Inactive,44,18,37,5,53.59
1002,May,18,78,Late,Medium,Highly Active,44,24,37,5,55.16
1002,Jun,39,84,Late,Medium,Highly Active,44,22,37,5,75.79
1003,Jan,24,77,No Submission,Medium,Active,82,19,19,5,42.89
1003,Feb,14,80,On time,Medium,Inactive,82,16,19,5,41.27
1003,Mar,18,85,Late,High,Highly Active,82,22,19,5,54.66
1003,Apr,33,52,No Submission,Medium,Highly Active,82,10,19,5,45.67
1003,May,27,51,On time,Low,Active,82,17,19,5,51.56
1003,Jun,5,67,Late,Medium,Highly Active,82,27,19,5,38.8
1004,Jan,40,99,Late,Low,Highly Active,75,13,19,1,72.8
1004,Feb,31,54,Late,High,Highly Active,75,22,19,1,68.17
1004,Mar,29,79,On time,High,Active,75,14,19,1,67.3
1004,Apr,32,61,No Submission,Medium,Highly Active,75,30,19,1,65.98
1004,May,13,67,Late,Medium,Active,75,30,19,1,56.4
1004,Jun,10,72,No Submission,High,Highly Active,75,16,19,1,41.63
1005,Jan,38,70,No Submission,Low,Inactive,72,29,26,5,64.81
1005,Feb,34,67,Late,High,Active,72,17,26,5,64.69
1005,Mar,35,73,Late,High,Highly Active,72,20,26,5,67.9
1005,Apr,23,50,On time,High,Highly Active,72,30,26,5,61.37
1005,May,16,78,On time,Medium,Inactive,72,16,26,5,48.21
1005,Jun,36,71,On time,High,Active,72,15,26,5,66.5
1006,Jan,27,99,No Submission,Low,Highly Active,98,15,27,4,52.37
1006,Feb,9,66,Late,Low,Inactive,98,13,27,4,37.41
1006,Mar,27,64,On time,Medium,Inactive,98,27,27,4,65.52
1006,Apr,35,53,No Submission,Low,Inactive,98,24,27,4,58.24
1006,May,28,58,Late,Low,Inactive,98,29,27,4,59.41
1006,Jun,8,66,On time,High,Inactive,98,27,27,4,55.09
1007,Jan,24,84,On time,Medium,Active,57,10,14,3,49.47
1007,Feb,24,64,On time,Low,Inactive,57,30,14,3,59.6
1007,Mar,12,84,On time,Medium,Inactive,57,26,14,3,44.36
1007,Apr,26,52,On time,Low,Active,57,30,14,3,61.57
1007,May,10,92,Late,Medium,Inactive,57,16,14,3,36.02
1007,Jun,20,51,Late,High,Highly Active,57,17,14,3,49.25
1008,Jan,9,69,On time,Low,Inactive,54,28,35,1,55.2
1008,Feb,19,54,Late,High,Highly Active,54,11,35,1,55.44
1008,Mar,10,52,Late,Medium,Inactive,54,29,35,1,56.65
1008,Apr,20,87,On time,Low,Highly Active,54,12,35,1,64.3
1008,May,29,73,Late,Low,Active,54,13,35,1,62.66
1008,Jun,38,55,On time,Low,Highly Active,54,10,35,1,67.89
1009,Jan,35,96,No Submission,Medium,Inactive,86,14,36,3,63.91
1009,Feb,31,90,Late,High,Highly Active,86,11,36,3,69.23
1009,Mar,31,62,No Submission,Medium,Inactive,86,18,36,3,58.52
1009,Apr,11,100,On time,Low,Highly Active,86,13,36,3,53.97
1009,May,33,60,Late,Medium,Highly Active,86,16,36,3,71.39
1009,Jun,24,91,Late,High,Active,86,10,36,3,62.1
1010,Jan,23,93,No Submission,Low,Inactive,54,23,15,5,38.51
1010,Feb,22,85,No Submission,Medium,Highly Active,54,14,15,5,42.63
1010,Mar,14,68,No Submission,Low,Highly Active,54,19,15,5,32.92
1010,Apr,32,94,No Submission,High,Highly Active,54,27,15,5,59.84
