Student_ID,Month,Hours_Studied,Attendance,Submission_Timeliness,Participation,Extra_C,Previous_Scores,Test_Score,Project_Marks,Backlogs,Exam_Score
1001,Jan,9.0,61.0,No Submmission,High,Active,43.0,29.0,16.0,4.0,38.34
1001,Feb,23.0,62.0,No Submmission,Medium,Highly Active,43.0,13.0,16.0,4.0,39.79
1001,Mar,16.8,95.0,No Submmission,Medium,Inactive,43.0,15.0,16.0,4.0,27.01
1001,Apr,35.0,64.0,No Submmission,Low,Highly Active,43.0,13.0,16.0,4.0,45.51
1001,May,9.0,66.8,No Submmission,Medium,Active,43.0,16.0,16.0,4.0,13.38
1001,Jun,8.0,52.0,No Submmission,Medium,Inactive,43.0,29.0,16.0,4.0,29.92
1002,Jan,17.0,51.0,No Submmission,Low,Highly Active,80.0,27.0,25.0,2.0,53.36
1002,Feb,16.0,50.0,No Submmission,Medium,Inactive,80.0,25.0,25.0,2.0,41.4
1002,Mar,21.0,86.0,No Submmission,Low,Active,80.0,11.0,25.0,2.0,38.36
1002,Apr,14.75,82.0,No Submmission,Medium,Active,80.0,18.0,25.0,2.0,33.48
1002,May,5.0,87.0,Late,Low,Active,80.0,20.2,25.0,2.0,31.85
1002,Jun,14.75,71.0,No Submmission,Low,Active,80.0,20.0,25.0,2.0,21.77
1003,Jan,5.0,95.0,Late,Medium,Active,48.0,30.0,32.0,1.0,50.45
1003,Feb,5.0,77.0,No Submmission,High,Active,48.0,19.0,32.0,1.0,42.29
1003,Mar,19.0,94.0,On time,High,Inactive,48.0,24.0,32.0,1.0,59.92
1003,Apr,36.0,50.0,No Submmission,Medium,Highly Active,48.0,22.2,32.0,1.0,56.15
1003,May,16.0,100.0,Late,High,Inactive,48.0,12.0,32.0,1.0,37.03
1003,Jun,15.0,59.0,Late,High,Highly Active,48.0,26.0,32.0,1.0,53.58
1004,Jan,16.0,56.0,No Submmission,Low,Inactive,93.0,12.0,35.0,2.0,30.28
1004,Feb,39.0,88.0,No Submmission,Low,Active,93.0,20.0,35.0,2.0,72.81
1004,Mar,31.0,57.0,On time,Medium,Inactive,93.0,10.0,35.0,2.0,57.54
1004,Apr,21.0,95.0,On time,Medium,Active,93.0,14.0,35.0,2.0,66.84
1004,May,22.8,75.0,No Submmission,Low,Inactive,93.0,16.0,35.0,2.0,51.61
1004,Jun,7.0,79.0,No Submmission,High,Inactive,93.0,24.0,35.0,2.0,30.59
1005,Jan,29.0,57.0,No Submmission,High,Inactive,46.0,23.0,32.0,1.0,59.39
1005,Feb,24.25,65.0,On time,High,Inactive,46.0,25.0,32.0,1.0,39.56
1005,Mar,5.0,98.0,No Submmission,High,Inactive,46.0,19.0,32.0,1.0,36.01
1005,Apr,32.0,76.0,Late,Medium,Inactive,46.0,22.6,32.0,1.0,43.21
1005,May,31.0,52.0,No Submmission,High,Highly Active,46.0,17.0,32.0,1.0,53.96
1005,Jun,24.25,94.0,On time,Medium,Active,46.0,29.0,32.0,1.0,49.61
1006,Jan,32.0,85.0,Late,Medium,Inactive,95.0,10.0,33.0,1.0,58.8
1006,Feb,36.0,54.0,No Submmission,High,Active,95.0,20.0,33.0,1.0,70.25
1006,Mar,5.0,61.0,Late,Low,Inactive,95.0,22.0,33.0,1.0,42.58
1006,Apr,34.0,58.0,No Submmission,Medium,Active,95.0,15.0,33.0,1.0,57.6
1006,May,25.0,64.2,No Submmission,Medium,Highly Active,95.0,12.0,33.0,1.0,28.75
1006,Jun,18.0,63.0,No Submmission,Medium,Active,95.0,19.0,33.0,1.0,39.64
1007,Jan,22.0,64.0,Late,Low,Active,90.0,20.0,36.0,3.0,37.81
1007,Feb,26.0,50.0,On time,Low,Active,90.0,22.0,36.0,3.0,48.95
1007,Mar,40.0,71.0,On time,High,Highly Active,90.0,26.0,36.0,3.0,85.82
1007,Apr,23.0,59.0,On time,Medium,Highly Active,90.0,23.0,36.0,3.0,70.27
1007,May,23.8,63.0,On time,Low,Active,90.0,12.0,36.0,3.0,29.03
1007,Jun,8.0,76.0,On time,Low,Active,90.0,17.0,36.0,3.0,37.11
1008,Jan,21.75,82.0,Late,Low,Active,63.0,21.8,24.0,3.0,18.98
1008,Feb,22.0,67.0,Late,Low,Inactive,63.0,17.0,24.0,3.0,42.5
1008,Mar,22.0,65.0,Late,Low,Active,63.0,16.0,24.0,3.0,46.71
1008,Apr,7.0,66.0,On time,Medium,Active,63.0,24.0,24.0,3.0,50.51
1008,May,36.0,73.8,Late,Medium,Active,63.0,30.0,24.0,3.0,59.72
1008,Jun,21.75,89.0,Late,Low,Active,63.0,22.0,24.0,3.0,29.53
1009,Jan,12.0,94.0,No Submmission,High,Highly Active,88.0,18.0,22.0,2.0,52.46
1009,Feb,30.0,75.75,No Submmission,High,Inactive,88.0,21.6,22.0,2.0,26.24
1009,Mar,27.0,75.75,No Submmission,Low,Active,88.0,18.0,22.0,2.0,41.28
1009,Apr,13.0,56.0,Late,High,Active,88.0,29.0,22.0,2.0,50.49
1009,May,18.0,92.0,No Submmission,Medium,Active,88.0,17.0,22.0,2.0,43.69
1009,Jun,27.0,61.0,Late,Low,Highly Active,88.0,26.0,22.0,2.0,55.09
1010,Jan,17.25,94.0,Late,Medium,Active,41.0,18.0,38.0,5.0,14.36
1010,Feb,17.25,68.5,No Submmission,High,Active,41.0,16.0,38.0,5.0,32.32
1010,Mar,9.0,68.5,Late,High,Inactive,41.0,12.0,38.0,5.0,26.82
1010,Apr,16.0,57.0,No Submmission,High,Active,41.0,16.0,38.0,5.0,28.41
1010,May,37.0,71.0,No Submmission,High,Active,41.0,22.0,38.0,5.0,66.89
1010,Jun,7.0,52.0,No Submmission,Low,Active,41.0,12.0,38.0,5.0,25.12
1011,Jan,24.0,99.0,No Submmission,High,Inactive,41.0,29.0,33.0,5.0,56.59
1011,Feb,23.0,77.5,Late,Medium,Active,41.0,25.0,33.0,5.0,45.87
1011,Mar,21.0,65.0,No Submmission,Medium,Highly Active,41.0,24.0,33.0,5.0,43.37
1011,Apr,36.0,85.0,On time,Medium,Active,41.0,30.0,33.0,5.0,74.67
1011,May,27.0,61.0,On time,Medium,Active,41.0,24.0,33.0,5.0,38.92
1011,Jun,5.0,77.5,On time,Medium,Active,41.0,23.0,33.0,5.0,21.86
1012,Jan,5.0,56.0,No Submmission,High,Highly Active,91.0,25.0,30.0,1.0,56.79
1012,Feb,35.0,58.0,No Submmission,High,Inactive,91.0,18.6,30.0,1.0,46.99
1012,Mar,14.0,95.0,No Submmission,Medium,Active,91.0,13.0,30.0,1.0,57.46
1012,Apr,25.0,91.0,No Submmission,High,Inactive,91.0,22.0,30.0,1.0,67.47
1012,May,39.0,60.0,Late,Low,Inactive,91.0,11.0,30.0,1.0,58.38
1012,Jun,27.0,54.0,On time,Low,Inactive,91.0,22.0,30.0,1.0,66.85
1013,Jan,7.0,52.0,No Submmission,Medium,Active,52.0,26.0,12.0,5.0,23.66
1013,Feb,14.0,62.0,No Submmission,Medium,Highly Active,52.0,23.0,12.0,5.0,24.21
1013,Mar,14.0,60.0,Late,Low,Highly Active,52.0,22.0,12.0,5.0,26.76
1013,Apr,14.0,62.0,No Submmission,Medium,Highly Active,52.0,16.0,12.0,5.0,11.79
1013,May,11.0,74.0,No Submmission,Medium,Highly Active,52.0,21.0,12.0,5.0,27.78
1013,Jun,24.0,62.0,No Submmission,High,Inactive,52.0,30.0,12.0,5.0,31.07
1014,Jan,20.0,80.33,On time,Low,Active,82.0,19.33,17.0,4.0,40.29
1014,Feb,22.0,98.0,On time,Low,Active,82.0,19.33,17.0,4.0,42.72
1014,Mar,17.0,54.0,Late,Medium,Active,82.0,21.0,17.0,4.0,46.28
1014,Apr,20.0,80.33,On time,Low,Active,82.0,19.33,17.0,4.0,40.29
1014,May,13.0,89.0,No Submmission,Low,Inactive,82.0,27.0,17.0,4.0,33.52
1014,Jun,28.0,80.33,On time,Medium,Highly Active,82.0,10.0,17.0,4.0,38.63
1015,Jan,35.0,59.0,Late,High,Inactive,70.0,20.0,28.0,2.0,62.48
1015,Feb,26.0,52.0,Late,Medium,Highly Active,70.0,30.0,28.0,2.0,66.54
1015,Mar,26.0,53.0,Late,High,Inactive,70.0,23.6,28.0,2.0,42.31
1015,Apr,14.0,74.0,Late,High,Highly Active,70.0,27.0,28.0,2.0,61.53
1015,May,10.0,83.0,Late,Medium,Active,70.0,21.0,28.0,2.0,43.67
1015,Jun,26.0,74.0,On time,High,Inactive,70.0,20.0,28.0,2.0,59.97
1016,Jan,6.0,74.0,No Submmission,Medium,Active,68.0,11.0,13.0,3.0,30.36
1016,Feb,22.0,57.0,Late,High,Highly Active,68.0,19.0,13.0,3.0,43.51
1016,Mar,37.0,68.0,No Submmission,High,Inactive,68.0,23.0,13.0,3.0,60.94
1016,Apr,24.2,72.0,No Submmission,Low,Active,68.0,13.0,13.0,3.0,14.19
1016,May,36.0,100.0,No Submmission,Medium,Highly Active,68.0,19.0,13.0,3.0,61.0
1016,Jun,20.0,68.0,On time,Medium,Active,68.0,28.0,13.0,3.0,52.25
1017,Jan,19.0,51.0,Late,Low,Highly Active,52.0,20.5,30.0,1.0,41.38
1017,Feb,15.0,97.0,No Submmission,Low,Active,52.0,21.0,30.0,1.0,48.77
1017,Mar,30.0,75.75,No Submmission,Low,Inactive,52.0,19.0,30.0,1.0,49.43
1017,Apr,23.0,95.0,On time,Low,Active,52.0,29.0,30.0,1.0,63.62
1017,May,21.75,60.0,On time,Medium,Inactive,52.0,13.0,30.0,1.0,36.87
1017,Jun,21.75,75.75,No Submmission,Low,Active,52.0,20.5,30.0,1.0,17.36
1018,Jan,18.0,53.0,No Submmission,High,Active,63.0,24.0,32.0,0.0,59.05
1018,Feb,24.0,72.0,No Submmission,Medium,Active,63.0,19.0,32.0,0.0,56.59
1018,Mar,8.0,90.0,On time,Low,Highly Active,63.0,26.0,32.0,0.0,51.97
1018,Apr,14.0,69.0,No Submmission,High,Inactive,63.0,18.0,32.0,0.0,40.73
1018,May,14.0,52.0,On time,Medium,Active,63.0,10.0,32.0,0.0,52.57
1018,Jun,14.0,69.0,No Submmission,Low,Active,63.0,29.0,32.0,0.0,55.81
1019,Jan,7.0,98.0,No Submmission,Medium,Highly Active,49.0,10.0,25.0,5.0,24.79
1019,Feb,8.0,80.0,No Submmission,Medium,Inactive,49.0,29.0,25.0,5.0,35.52
1019,Mar,39.0,63.0,No Submmission,Medium,Active,49.0,24.5,25.0,5.0,40.42
1019,Apr,15.75,80.0,No Submmission,Medium,Inactive,49.0,29.0,25.0,5.0,28.81
1019,May,15.75,80.25,No Submmission,Medium,Inactive,49.0,24.5,25.0,5.0,31.83
1019,Jun,9.0,80.25,Late,Low,Inactive,49.0,30.0,25.0,5.0,29.63
1020,Jan,19.5,88.0,Late,High,Highly Active,56.0,15.0,21.0,2.0,41.32
1020,Feb,10.0,68.0,Late,High,Highly Active,56.0,15.0,21.0,2.0,43.06
1020,Mar,15.0,70.0,Late,Medium,Inactive,56.0,17.5,21.0,2.0,30.09
1020,Apr,39.0,56.0,No Submmission,High,Active,56.0,24.0,21.0,2.0,61.62
1020,May,19.5,70.5,Late,High,Highly Active,56.0,17.5,21.0,2.0,41.81
1020,Jun,14.0,70.5,Late,Medium,Inactive,56.0,16.0,21.0,2.0,32.94
1021,Jan,6.0,71.25,No Submmission,Low,Active,98.0,15.0,39.0,3.0,26.66
1021,Feb,12.0,96.0,No Submmission,Low,Highly Active,98.0,11.0,39.0,3.0,46.43
1021,Mar,28.0,54.0,Late,Medium,Highly Active,98.0,24.0,39.0,3.0,64.85
1021,Apr,11.0,82.0,On time,Low,Active,98.0,10.0,39.0,3.0,53.46
1021,May,26.0,71.25,On time,Low,Highly Active,98.0,14.0,39.0,3.0,34.01
1021,Jun,29.0,53.0,No Submmission,Medium,Highly Active,98.0,16.0,39.0,3.0,55.18
1022,Jan,35.0,88.0,On time,Medium,Inactive,92.0,21.0,32.0,2.0,80.93
1022,Feb,17.0,87.0,Late,High,Highly Active,92.0,21.0,32.0,2.0,60.19
1022,Mar,27.0,78.33,Late,Medium,Highly Active,92.0,22.0,32.0,2.0,63.48
1022,Apr,25.0,60.0,Late,Medium,Highly Active,92.0,13.0,32.0,2.0,55.63
1022,May,35.0,78.33,On time,High,Highly Active,92.0,17.6,32.0,2.0,34.19
1022,Jun,27.8,78.33,Late,Medium,Highly Active,92.0,11.0,32.0,2.0,27.68
1023,Jan,28.0,95.0,No Submmission,Medium,Highly Active,77.0,11.0,11.0,0.0,50.62
