Student_ID,Month,Hours_Studied,Attendance,Previous_Scores,Test_Score,Project_Marks,Submission_Timeliness,Participation,Extra_C,Backlogs,Exam_Score,engagement_feature,risk_feature,balance_feature,activeness_feature
1001,Jan,33,66,81,19,30,10,5,10,5,67.8,5.8,1.9,9.12,7.5
1001,Feb,12,93,81,19,30,0,10,10,5,53.17,9.65,1.9,1.5,10.0
1001,Mar,32,57,81,28,30,-10,5,0,5,55.25,5.35,1.9,-1.0,2.5
1001,Apr,37,73,81,25,30,0,0,0,5,68.69,3.65,1.9,4.62,0.0
1001,May,11,62,81,26,30,-10,0,10,5,42.96,3.1,1.9,-3.62,5.0
1001,Jun,29,97,81,18,30,10,0,5,5,62.69,4.85,1.9,8.62,2.5
1002,Jan,24,67,44,18,37,-10,5,5,5,47.46,5.85,5.6,-2.0,5.0
1002,Feb,24,98,44,15,37,-10,10,0,5,54.22,9.9,5.6,-2.0,5.0
1002,Mar,31,61,44,12,37,-10,0,5,5,50.26,3.05,5.6,-1.12,2.5
1002,Apr,23,56,44,18,37,10,0,0,5,53.59,2.8,5.6,7.88,0.0
1002,May,18,78,44,24,37,0,5,10,5,55.16,6.4,5.6,2.25,7.5
1002,Jun,39,84,44,22,37,0,5,10,5,75.79,6.7,5.6,4.88,7.5
1003,Jan,24,77,82,19,19,-10,5,5,5,42.89,6.35,1.8,-2.0,5.0
1003,Feb,14,80,82,16,19,10,5,0,5,41.27,6.5,1.8,6.75,2.5
1003,Mar,18,85,82,22,19,0,10,10,5,54.66,9.25,1.8,2.25,10.0
1003,Apr,33,52,82,10,19,-10,5,10,5,45.67,5.1,1.8,-0.88,7.5
1003,May,27,51,82,17,19,10,0,5,5,51.56,2.55,1.8,8.38,2.5
1003,Jun,5,67,82,27,19,0,5,10,5,38.8,5.85,1.8,0.62,7.5
1004,Jan,40,99,75,13,19,0,0,10,1,72.8,4.95,-5.5,5.0,5.0
1004,Feb,31,54,75,22,19,0,10,10,1,68.17,7.7,-5.5,3.88,10.0
